id,Q,A,QS1,QS2
140,海南航空控股股份有限公司收到的《告知书》涉及的主要违法事实是什么？,海南航空控股股份有限公司收到的《告知书》涉及的主要违法事实包括涉案债券披露情况、定期报告重大遗漏以及未按规定披露临时报告等。,海南航空控股股份有限公司收到的《告知书》中指出的主要违法行为有哪些？,海南航空控股股份有限公司收到的《告知书》提及了哪些违法事实？
141,海航控股因何被中国证监会处罚？,海南航空控股股份有限公司因涉嫌债券市场信息披露违法，未能如实披露非经营性关联交易和担保情况，被中国证监会处以警告。,为何海航控股受到中国证监会处罚？,海航控股为什么会收到中国证监会的行政处罚决定？
142,海量数据技术股份有限公司收到的行政处罚事先告知书的主要内容是什么？,海量数据技术股份有限公司收到的行政处罚事先告知书主要内容包括：涉嫌违法减持股票案的调查结果和行政处罚决定，具体包括涉嫌违法的事实、理由、依据、违法行为及相关处罚内容。,海量数据技术股份有限公司收到的行政处罚事先告知书涉及的主要内容是什么？,海量数据技术股份有限公司收到的行政处罚事先告知书包含了哪些主要内容？
143,这份文件的作者和委托人是谁？,文件的作者是湖南启元律师事务所，委托人是益丰大药房连锁股份有限公司。,由哪家律师事务所起草的？委托人是谁？,这份文件是哪家律师事务所代表益丰大药房连锁股份有限公司起草的？
144,根据公司规定，监事会议的召集与召开应当遵循哪些具体程序？,根据公司规定，监事会议的召集与召开需要监事会主席负责召集并主持，监事会定期会议每6个月至少召开一次会议。召集通知应当提前10日发出，并包括会议日期、地点、会议期限等内容。未出席监事会会议且未委托代表出席的监事将视为放弃在该次会议上的投票。,根据公司规定，监事会议召集程序包括哪些内容？,监事会议的召集和召开需要遵循怎样的规定？
145,科力远公司最近五年是否有被证监部门处罚或采取监管措施的情况？,根据湖南科力远新能源股份有限公司2023年7月22日公告，公司最近五年不存在被证券监管部门和上海证券交易所处罚的情况。在最近五年内，公司共收到上海证券交易所出具的3份监管工作函和6份问询函。,科力远公司近五年是否被证监部门处罚或采取监管措施？,科力远公司最近五年是否遭到证监部门处罚或监管措施？
146,公司收到《行政处罚事先告知书》的公告的主要内容是什么？,公司收到中国证监会下发的《行政处罚事先告知书》，因涉嫌信息披露违法违规，中国证监会决定对公司立案调查，并列举了公司涉嫌信息披露违法的详细事实以及涉及的相关责任人员。,公司收到的《行政处罚事先告知书》公告中有哪些具体违法事实？,公司收到的《行政处罚事先告知书》中提及的责任人员有哪些？
147,罗普特科技公司是否收到《行政处罚决定书》？,是的，罗普特科技集团股份有限公司收到了《行政处罚决定书》。该公告指出公司存在信息披露违法违规的行为，中国证监会对公司进行了立案调查，并做出了相应的行政处罚决定。,罗普特科技公司是否因信息披露违法违规行为收到行政处罚？,罗普特科技公司因何事项收到《行政处罚决定书》？
148,根据公告内容，莱绅通灵珠宝股份有限公司收到税务机关行政处罚事项告知书的主要内容是什么？,"根据公告内容，莱绅通灵珠宝股份有限公司收到税务机关行政处罚事项告知书的主要内容包括：公司通过银行汇款、资金回流的方式取得虚开的增值税发票，套取资金用于发放员工工资奖金。根据《中华人民共和国个人所得税法》第二、三、六条，应追缴个人所得税 2,954,322.62元。根据《中华人民共和国税收征收管理法》第六十九条之规定，对公司的涉税违法行为，拟处以罚款计4,431,483.93元。",根据公告内容，莱绅通灵珠宝股份有限公司收到税务机关行政处罚事项告知书提到的主要内容是什么？,莱绅通灵珠宝股份有限公司收到的税务机关行政处罚事项告知书中提到了哪些主要内容？
149,莱绅通灵珠宝股份有限公司收到税务机关行政处罚事项告知书的最新情况是什么？,莱绅通灵珠宝股份有限公司最新公告显示，收到税务机关行政处罚事项告知书的进展为：原告知书违法事实变更，应追缴个人所得税金额由2954322.62元调整为3432427.22元，拟处罚金额由4431483.93元调整为5148640.83元。,莱绅通灵珠宝股份有限公司的税务处罚情况有什么更新？,莱绅通灵珠宝股份有限公司最新公告中提到的税务行政处罚事项告知书有哪些变化？
150,请问本次股东大会的网络投票是否合法有效？,是的，经办律师认为，本次股东大会的网络投票符合法律、法规、规范性文件以及《公司章程》等相关规定，网络投票的公告、表决方式和表决结果的统计均合法有效。,本次股东大会的网络投票是否符合法律、法规和公司章程的相关规定？,本次股东大会网络投票的合法性和有效性如何？
151,对于2023年第一次临时股东大会的法律意见，律师事务所的结论是什么？,律师事务所认为，公司2023年第一次临时股东大会的召集、召开程序符合《公司法》等相关法律法规的规定，召集人资格和出席会议人员资格合法有效，表决程序和结果符合规定，属于合法有效的股东大会。,律师事务所就2023年第一次临时股东大会给出的法律意见是什么？,律师事务所对于2023年第一次临时股东大会提供了什么样的结论？
152,董事长收到行政处罚决定书的公告内容是什么？,董事长收到中国证监会河北监管局出具的《行政处罚决定书》（[2023]9号），在冀中能源任职期间存在信息披露违规问题，因此被处以警告并罚款20万元。,董事长因何事项收到行政处罚决定书？,公司董事长收到监管机构行政处罚决定书的主要内容是什么？
153,金陵饭店股份有限公司2023年第一次临时股东大会是否合法有效？,金陵饭店股份有限公司2023年第一次临时股东大会的召集、召开程序、出席会议人员资格、召集人资格均符合法律、法规、规范性文件及《公司章程》的规定；出席本次股东大会的人员资格、召集人资格均合法有效，符合法律、法规、规范性文件及《公司章程》的规定；关联股东对相关议案进行了回避表决，本次股东大会的表决程序符合有关法律、法规、规范性文件及《公司章程》的规定。本次股东大会的表决结果及决议合法有效。,金陵饭店股份有限公司2023年第一次临时股东大会是否符合法律规定？,2023年金陵饭店股份有限公司股东大会的召集程序和表决程序是否合规？
154,本次股东大会的召集和召开程序是否符合法律规定？,是的，公司本次股东大会的召集和召开程序符合法律、法规、规范性文件及《公司章程》的规定；本次会议召集人资格合法有效；出席本次股东大会人员的资格合法有效；表决程序和表决结果合法有效。,公司本次股东大会是否符合法律规定？,本次股东大会的召开程序是否合法？
155,北京首都开发股份有限公司因何收到行政处罚事先告知书？,北京首都开发股份有限公司收到行政处罚事先告知书是因为涉嫌违反了《中华人民共和国证券法》第七十八条第二款、《公司债券发行与交易管理办法》第四条、《银行间债券市场非金融企业债务融资工具管理办法》第七条的规定，构成《证券法》第一百九十七条第二款所述的违法行为。具体涉嫌违法行为是在2021年存货减值测试中，高估下属子公司存货可变现净值，少计提存货跌价准备4.05亿元，少计资产减值损失4.05亿元，导致公司年度报告存在错报。公司已就此进行主动更正。公司时任董事长李岩、时任董事兼总经理赵龙节、时任总会计师容宇对公司财务会计报告的真实性、准确性、完整性承担主要责任。,为何北京首都开发股份有限公司收到行政处罚事先告知书？,什么原因导致北京首都开发股份有限公司收到行政处罚事先告知书？
156,首开股份因何被中国证监会处罚？,首开股份因为在2021年存货减值测试中高估下属子公司存货可变现净值，少计提存货跌价准备4.05亿元，少计资产减值损失4.05亿元，导致错报并在2022年5月至2023年5月期间的发行文件以及在银行间债券市场披露的2021年年度报告中存在错报。公司收到中国证监会的《行政处罚决定书》，对其信息披露违法行为给予警告，并处以150万元的罚款。,首开股份因何被中国证监会惩罚？,中国证监会对首开股份有何处罚？
